,id,away_score,home_score,winner
0,01_31_CLE_HOU_19,1,4,home
1,01_31_TEX_SEA_16,14,1,away
2,01_31_PIT_LAD_16,6,7,home
3,01_31_CHC_ARI_16,6,5,away
4,01_31_NYY_SF_16,11,5,away
5,01_31_CIN_STL_14,2,5,home
6,01_31_LAA_KC_14,7,3,away
7,01_31_BAL_MIN_14,1,4,home
8,01_31_DET_CHW_14,1,4,home
9,01_31_SD_WSH_13,6,7,home
10,01_31_COL_ATL_13,7,8,home
11,01_31_MIL_NYM_13,2,5,home
12,01_31_OAK_TOR_13,4,5,home
13,01_31_MIA_PHI_13,1,5,home
14,01_31_TB_BOS_13,5,2,away
15,01_37_LAD_SD_20,7,6,away
16,01_37_ARI_COL_20,9,2,away
17,01_37_TOR_TEX_20,5,8,home
18,01_37_NYM_MIL_19,3,4,home
19,01_37_SF_CIN_19,2,9,home
20,01_37_BOS_CHW_19,15,2,away
21,01_37_HOU_LAA_19,14,2,away
22,01_37_OAK_PIT_19,4,6,home
23,01_37_WSH_PHI_19,10,8,away
24,01_37_TB_BAL_19,0,3,home
25,01_37_ATL_MIA_18,9,2,away
26,01_37_KC_DET_16,15,3,away
27,01_37_SEA_CLE_16,4,5,home
28,01_37_STL_CHC_16,5,6,home
29,01_37_MIN_NYY_13,7,3,away
30,01_38_STL_CHC_19,5,13,home
31,01_38_LAD_SD_16,5,8,home
32,01_38_SF_CIN_16,6,5,away
33,01_38_MIN_NYY_16,1,4,home
34,01_38_HOU_LAA_16,10,4,away
35,01_38_ARI_COL_15,7,8,home
36,01_38_TOR_TEX_15,2,10,home
37,01_38_NYM_MIL_14,2,3,home
38,01_38_BOS_CHW_14,9,2,away
39,01_38_WSH_PHI_14,1,7,home
40,01_38_OAK_PIT_13,3,5,home
41,01_38_ATL_MIA_13,3,1,away
42,01_38_SEA_CLE_13,10,0,away
43,01_38_KC_DET_13,2,5,home
44,01_40_NYM_SD_22,7,6,away
45,01_40_CIN_OAK_22,0,2,home
46,01_32_TB_KC_20,8,5,away
47,01_32_BAL_CHW_20,3,5,home
48,01_32_HOU_MIN_19,0,1,home
49,01_32_COL_MIL_19,1,5,home
50,01_32_SD_ATL_19,1,3,home
51,01_32_CIN_NYM_19,5,4,away
52,01_32_STL_WSH_19,6,3,away
53,01_32_OAK_BOS_19,4,9,home
54,01_33_LAD_SF_21,10,3,away
55,01_33_NYY_ARI_21,1,3,home
56,01_33_PIT_TEX_20,6,4,away
57,01_33_HOU_MIN_19,11,0,away
58,01_33_COL_MIL_19,3,4,home
59,01_33_SD_ATL_19,4,3,away
60,01_33_CIN_NYM_19,3,4,home
61,01_33_CLE_MIA_19,7,4,away
62,01_33_OAK_BOS_19,1,5,home
63,01_33_STL_WSH_19,3,2,away
64,01_33_DET_PHI_19,3,1,away
65,01_34_LAD_SF_21,1,2,home
66,01_34_BAL_CHW_20,6,7,home
67,01_34_HOU_MIN_20,2,6,home
68,01_34_COL_MIL_19,11,4,away
69,01_34_SD_ATL_19,1,5,home
70,01_34_CLE_MIA_19,2,4,home
71,01_34_STL_WSH_19,5,1,away
72,01_34_DET_PHI_19,3,7,home
73,01_34_CIN_NYM_19,1,0,away
74,01_34_CHC_SEA_18,11,0,away
75,01_34_TB_KC_17,2,8,home
76,01_34_BAL_CHW_16,5,4,away
77,01_34_NYY_ARI_15,2,3,home
78,01_34_PIT_TEX_14,7,5,away
79,01_34_TB_KC_13,2,3,home
80,01_34_OAK_BOS_13,3,7,home
81,01_35_BOS_CHW_20,4,6,home
82,01_35_STL_WSH_16,1,2,home
83,01_35_TB_KC_14,3,1,away
84,01_35_COL_MIL_13,11,6,away
85,01_35_HOU_MIN_13,2,8,home
86,01_35_CIN_NYM_12,0,1,home
87,01_35_SD_ATL_12,11,2,away
88,01_35_TOR_LAA_22,2,6,home
89,01_36_ARI_COL_20,10,9,away
90,01_36_NYM_MIL_20,1,3,home
91,01_36_BOS_CHW_20,6,1,away
92,01_36_TOR_TEX_20,1,0,away
93,01_36_ATL_MIA_19,7,2,away
94,01_36_KC_DET_19,3,4,home
95,01_36_SEA_CLE_19,1,2,home
96,01_36_SF_CIN_19,12,11,away
97,01_36_OAK_PIT_19,14,1,away
98,01_36_WSH_PHI_19,2,4,home
99,01_36_MIN_NYY_19,3,6,home
100,01_36_TB_BAL_19,7,0,away
101,01_36_STL_CHC_14,0,4,home
102,01_36_LAD_SD_22,4,3,away
103,01_39_ATL_LAD_22,3,5,home
104,01_39_NYM_SD_22,0,4,home
105,01_39_KC_HOU_20,4,6,home
106,01_39_MIA_CHC_20,6,5,away
107,01_39_PHI_STL_20,0,6,home
108,01_39_WSH_MIL_19,3,5,home
109,01_39_ARI_TB_19,1,12,home
110,01_39_MIN_TOR_19,8,0,away
111,01_39_BOS_BAL_19,1,4,home
112,01_39_SEA_NYY_18,3,7,home
113,01_39_CHW_CLE_18,9,1,away
114,01_39_SF_CIN_12,4,12,home
115,01_40_ATL_LAD_22,0,9,home
116,01_40_SF_COL_20,14,4,away
117,01_40_KC_HOU_20,12,2,away
118,01_40_MIA_CHC_20,2,5,home
119,01_40_PHI_STL_19,11,1,away
120,01_40_WSH_MIL_19,0,6,home
121,01_40_ARI_TB_19,3,6,home
122,01_40_LAA_DET_19,5,2,away
123,01_40_MIN_TOR_19,3,0,away
124,01_40_TEX_PIT_19,4,5,home
125,01_40_BOS_BAL_19,8,5,away
126,01_40_SEA_NYY_18,4,5,home
127,01_40_CHW_CLE_18,2,0,away
128,01_41_KC_HOU_20,0,9,home
129,01_41_MIA_CHC_19,2,3,home
130,01_41_LAA_DET_19,3,10,home
131,01_41_MIN_TOR_19,9,1,away
132,01_41_BOS_BAL_19,2,1,away
133,01_41_SEA_NYY_18,10,1,away
134,01_41_CHW_CLE_18,3,5,home
135,01_41_NYM_SD_15,2,3,home
136,01_41_PHI_STL_13,5,0,away
137,01_41_ARI_TB_13,3,2,away
138,01_41_WSH_MIL_13,3,7,home
139,01_41_TEX_PIT_12,9,6,away
140,01_42_ATL_ARI_21,2,3,home
141,01_42_TEX_HOU_20,2,4,home
142,01_42_PIT_STL_19,4,17,home
143,01_42_SEA_NYY_18,1,3,home
144,01_42_CIN_OAK_15,3,0,away
145,01_42_SF_COL_15,11,12,home
146,01_42_MIA_CHC_14,1,4,home
147,01_42_LAA_DET_13,13,0,away
148,01_42_CHW_CLE_13,0,5,home
149,01_43_ATL_ARI_21,2,1,away
150,01_43_SD_COL_20,2,12,home
151,01_43_PIT_STL_20,2,1,away
152,01_43_PHI_KC_20,1,5,home
153,01_43_DET_MIN_20,0,6,home
154,01_43_TEX_HOU_20,0,3,home
155,01_43_NYY_TB_19,4,3,away
156,01_43_MIA_NYM_19,2,11,home
157,01_43_SEA_BOS_19,1,14,home
158,01_43_CHW_TOR_19,3,4,home
159,01_43_LAA_BAL_19,8,3,away
160,01_43_MIL_CHC_14,7,0,away
161,01_44_WSH_LAD_21,5,2,away
162,01_44_CIN_SF_21,5,4,away
163,01_44_DET_MIN_20,3,8,home
164,01_44_TEX_HOU_20,4,11,home
165,01_44_SD_COL_20,4,3,away
166,01_44_ATL_ARI_20,6,4,away
167,01_44_PHI_KC_19,7,0,away
168,01_44_MIA_NYM_19,1,4,home
169,01_44_NYY_TB_18,2,7,home
170,01_44_CLE_OAK_16,2,3,home
171,01_44_LAA_BAL_16,7,2,away
172,01_44_CHW_TOR_15,7,2,away
173,01_44_MIL_CHC_14,1,2,home
174,01_44_PIT_STL_14,2,1,away
175,01_44_DET_MIN_14,5,3,away
176,01_44_SEA_BOS_13,5,9,home
177,01_45_MIL_CHC_19,1,4,home
178,01_45_WSH_LAD_16,0,6,home
179,01_45_ATL_ARI_16,5,3,away
180,01_45_CLE_OAK_16,5,3,away
181,01_45_CIN_SF_16,5,6,home
