,id,sport,date,game_time,away,home
0,01_27_ATL_CIN_18,MLB,2019-04-24,18:40:00,ATL,CIN
1,01_27_PHI_NYM_19,MLB,2019-04-24,19:00:00,PHI,NYM
2,01_27_CHW_BAL_19,MLB,2019-04-24,19:05:00,CHW,BAL
3,01_27_ARI_PIT_19,MLB,2019-04-24,19:05:00,ARI,PIT
4,01_27_DET_BOS_19,MLB,2019-04-24,19:10:00,DET,BOS
5,01_27_LAD_CHC_20,MLB,2019-04-24,20:05:00,LAD,CHC
6,01_27_MIN_HOU_20,MLB,2019-04-24,20:10:00,MIN,HOU
7,01_27_NYY_LAA_22,MLB,2019-04-24,22:07:00,NYY,LAA
8,01_28_ARI_PIT_12,MLB,2019-04-25,12:35:00,ARI,PIT
9,01_28_LAD_CHC_14,MLB,2019-04-25,14:20:00,LAD,CHC
10,01_28_ATL_CIN_18,MLB,2019-04-25,18:40:00,ATL,CIN
11,01_28_MIA_PHI_19,MLB,2019-04-25,19:05:00,MIA,PHI
12,01_28_DET_BOS_19,MLB,2019-04-25,19:10:00,DET,BOS
13,01_28_CLE_HOU_20,MLB,2019-04-25,20:10:00,CLE,HOU
14,01_28_NYY_LAA_21,MLB,2019-04-25,21:07:00,NYY,LAA
15,01_28_TEX_SEA_22,MLB,2019-04-25,22:10:00,TEX,SEA
16,01_29_MIA_PHI_19,MLB,2019-04-26,19:05:00,MIA,PHI
17,01_29_SD_WSH_19,MLB,2019-04-26,19:05:00,SD,WSH
18,01_29_OAK_TOR_19,MLB,2019-04-26,19:07:00,OAK,TOR
19,01_29_TB_BOS_19,MLB,2019-04-26,19:10:00,TB,BOS
20,01_29_MIL_NYM_19,MLB,2019-04-26,19:10:00,MIL,NYM
21,01_29_COL_ATL_19,MLB,2019-04-26,19:20:00,COL,ATL
22,01_29_DET_CHW_20,MLB,2019-04-26,20:10:00,DET,CHW
23,01_29_CLE_HOU_20,MLB,2019-04-26,20:10:00,CLE,HOU
24,01_29_BAL_MIN_20,MLB,2019-04-26,20:10:00,BAL,MIN
25,01_29_LAA_KC_20,MLB,2019-04-26,20:15:00,LAA,KC
26,01_29_CIN_STL_20,MLB,2019-04-26,20:15:00,CIN,STL
27,01_29_CHC_ARI_21,MLB,2019-04-26,21:40:00,CHC,ARI
28,01_29_PIT_LAD_22,MLB,2019-04-26,22:10:00,PIT,LAD
29,01_29_TEX_SEA_22,MLB,2019-04-26,22:10:00,TEX,SEA
30,01_29_NYY_SF_22,MLB,2019-04-26,22:15:00,NYY,SF
31,01_30_BAL_MIN_14,MLB,2019-04-27,14:10:00,BAL,MIN
