,id,sports_book,bet_on,amount_bet,odds_bet,chance_to_win,to_win,expected_winnings
0,01_30_BAL_MIN_14,Bookmaker,away,100,226,0.31,326.0,101.06
1,01_30_OAK_TOR_15,BetOnline,away,100,-104,0.52,196.153846153846,102.0
2,01_30_NYY_SF_16,JustBet,away,100,105,0.6,205.0,123.0
3,01_30_MIL_NYM_19,Intertops,away,100,124,0.46,224.0,103.04
4,01_30_LAA_KC_19,Bookmaker,away,100,-112,0.57,189.285714285714,107.892857142857
5,01_30_PIT_LAD_21,Pinnacle,away,100,193,0.35,293.0,102.55
6,01_30_CIN_STL_14,5Dimes,home,100,-126,0.57,179.365079365079,102.238095238095
7,01_30_CLE_HOU_16,JustBet,home,100,-124,0.58,180.645161290323,104.774193548387
8,01_30_SD_WSH_16,5Dimes,home,100,-163,0.63,161.349693251534,101.650306748466
9,01_30_MIA_PHI_18,5Dimes,home,100,-169,0.66,159.171597633136,105.05325443787
10,01_30_COL_ATL_19,5Dimes,home,100,-117,0.57,185.470085470085,105.717948717949
11,01_30_CHC_ARI_20,Heritage,home,100,110,0.52,210.0,109.2
12,01_30_TEX_SEA_21,Bookmaker,home,100,-105,0.54,195.238095238095,105.428571428571
13,01_31_MIL_NYM_13,5Dimes,away,100,113,0.5,213.0,106.5
14,01_31_COL_ATL_13,5Dimes,away,100,150,0.44,250.0,110.0
15,01_31_LAA_KC_14,Pinnacle,away,100,-114,0.55,187.719298245614,103.245614035088
16,01_31_NYY_SF_16,BetOnline,away,100,-117,0.57,185.470085470085,105.717948717949
17,01_31_PIT_LAD_16,BetOnline,away,100,174,0.38,274.0,104.12
18,01_31_MIA_PHI_13,BetOnline,home,100,-155,0.64,164.516129032258,105.290322580645
19,01_31_TB_BOS_13,5Dimes,home,100,-146,0.6,168.493150684931,101.095890410959
20,01_31_SD_WSH_13,Heritage,home,100,-103,0.56,197.087378640777,110.368932038835
21,01_31_BAL_MIN_14,Heritage,home,100,-188,0.68,153.191489361702,104.170212765957
22,01_31_CIN_STL_14,Bookmaker,home,100,-136,0.59,173.529411764706,102.382352941176
23,01_31_CHC_ARI_16,5Dimes,home,100,103,0.5,203.0,101.5
